#	Timing	Category	Format	Post text	Visual direction	Objective	CTA	Evidence / link requirement
1	T+00:00	CA / launch	launch announcement	THE ADDRESS HAS BEEN ACCEPTED. \n \nEight arms listened. One memory waited. \n \nThat dormancy ends now. \n \nCA: [OFFICIAL_CA] \n \nVerify the address. Attach through one contract only. \n \n> PHASE 01 // AWAKENED \n> VERIFY. ATTACH. DESCEND. \n \n$O8	Black terminal card with CA in monospace	Make the contract reveal the beginning of the story	Verify the CA and enter the monitor	ca + chain explorer
32	When verified · event 3	Live lifecycle / evidence	event card	> FIRST SWAP \n \nthe first swap is a small movement \nthat changes the shape of the whole room.	Screenshot of the matching live panel	Turn real chain events into serial narrative	view swap evidence	live chain + explorer
33	When verified · event 4	Live lifecycle / evidence	event card	> FIRST PARTICIPANT \n \none address is enough to make a crowd possible. \nwelcome, first participant.	Screenshot of the matching live panel	Turn real chain events into serial narrative	check holder list	live chain + explorer
34	When verified · event 5	Live lifecycle / evidence	event card	> 10% \n \nthe curve crossed 10%. \nnot a victory lap. \na calibration point.	Screenshot of the matching live panel	Turn real chain events into serial narrative	compare curve	live chain + explorer
35	When verified · event 6	Live lifecycle / evidence	event card	> 25% \n \nquarter depth. \nthe signal is no longer hypothetical.	Screenshot of the matching live panel	Turn real chain events into serial narrative	watch the monitor	live chain + explorer
36	When verified · event 7	Live lifecycle / evidence	event card	> 50% \n \nhalfway is not the destination. \nit is where the system starts revealing its habits.	Screenshot of the matching live panel	Turn real chain events into serial narrative	read the feed	live chain + explorer
37	When verified · event 8	Live lifecycle / evidence	event card	> 75% \n \nthree quarters of the path. \nless noise. more history.	Screenshot of the matching live panel	Turn real chain events into serial narrative	inspect history	live chain + explorer
38	When verified · event 9	Live lifecycle / evidence	event card	> 90% \n \nthe final stretch makes every assumption visible.	Screenshot of the matching live panel	Turn real chain events into serial narrative	stay on the lifecycle	live chain + explorer
39	When verified · event 10	Live lifecycle / evidence	event card	> 95% \n \nalmost complete is still a live state. \nO8 does not call it done early.	Screenshot of the matching live panel	Turn real chain events into serial narrative	wait for verified completion	live chain + explorer
40	When verified · event 11	Live lifecycle / evidence	event card	> HISTORIC HIGH \n \nthe record remembers the high \neven when the curve steps back.	Screenshot of the matching live panel	Turn real chain events into serial narrative	view historical high	live chain + explorer
41	When verified · event 12	Live lifecycle / evidence	event card	> CURVE RETREAT \n \na retreat is not a failure of the monitor. \nit is a change in state.	Screenshot of the matching live panel	Turn real chain events into serial narrative	compare current vs high	live chain + explorer
42	When verified · event 13	Live lifecycle / evidence	event card	> SILENCE \n \nno event is different from no monitoring. \nO8 labels the difference.	Screenshot of the matching live panel	Turn real chain events into serial narrative	check heartbeat	live chain + explorer
43	When verified · event 14	Live lifecycle / evidence	event card	> MONITORING GAP \n \nthe watcher went quiet. \nthe chain did not necessarily stop.	Screenshot of the matching live panel	Turn real chain events into serial narrative	inspect gap markers	live chain + explorer
44	When verified · event 15	Live lifecycle / evidence	event card	> POOL VERIFY \n \nafter graduation, the pool still has to answer.	Screenshot of the matching live panel	Turn real chain events into serial narrative	verify pool	live chain + explorer
45	When verified · event 16	Live lifecycle / evidence	event card	> GRADUATION SWAP \n \nthe first post-graduation swap is a new chapter, \nnot an epilogue.	Screenshot of the matching live panel	Turn real chain events into serial narrative	open post-graduation swap	live chain + explorer
46	When verified · event 17	Live lifecycle / evidence	event card	> 100 BLOCKS \n \none hundred blocks later, \nwe check whether the story still resolves.	Screenshot of the matching live panel	Turn real chain events into serial narrative	review 100-block check	live chain + explorer
47	When verified · event 18	Live lifecycle / evidence	event card	> BASELINE \n \nADAPTING starts with a baseline, \nnot a mood.	Screenshot of the matching live panel	Turn real chain events into serial narrative	see baseline	live chain + explorer
48	When verified · event 19	Live lifecycle / evidence	event card	> DEVIATION \n \nwhen reality moves away from baseline, \nO8 records the distance.	Screenshot of the matching live panel	Turn real chain events into serial narrative	read deviation event	live chain + explorer
49	When verified · event 20	Live lifecycle / evidence	event card	> EVENT LOG \n \nevery meaningful transition gets a timestamp. \nthat is the ritual.	Screenshot of the matching live panel	Turn real chain events into serial narrative	open event log	live chain + explorer
50	Day 10 · build note	Builder / product update	build log	BUILD 01 \n \nthe monitor now distinguishes a quiet chain from a quiet connection. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	site telemetry
51	Day 11 · build note	Builder / product update	build log	BUILD 02 \n \nwe stopped drawing a straight line where the data had a curve. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	site telemetry
52	Day 12 · build note	Builder / product update	build log	BUILD 03 \n \nthe event parser learned the difference between a transfer and a swap. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	site telemetry
53	Day 13 · build note	Builder / product update	build log	BUILD 04 \n \nthe feed now names the block that made the sentence possible. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	site telemetry
54	Day 14 · build note	Builder / product update	build log	BUILD 05 \n \nhistory is no longer a number. it is a sequence. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	site telemetry
55	Day 15 · build note	Builder / product update	build log	BUILD 06 \n \nthe eight arms now share one memory, not eight disconnected dashboards. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	site telemetry
56	Day 16 · build note	Builder / product update	build log	BUILD 07 \n \nwe added a visible source label because mystery is not an excuse for ambiguity. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	site telemetry
57	Day 17 · build note	Builder / product update	build log	BUILD 08 \n \nthe CA field can be reset for testing without rewriting the organism. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	site telemetry
58	Day 18 · build note	Builder / product update	build log	BUILD 09 \n \nthe launchpad phase is now a state, not a caption. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	site telemetry
59	Day 19 · build note	Builder / product update	build log	BUILD 10 \n \nthe monitor can say “unknown” instead of inventing certainty. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	site telemetry
60	Day 20 · build note	Builder / product update	build log	BUILD 11 \n \nwe made the terminal slower on purpose. attention has a bandwidth. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	none
61	Day 21 · build note	Builder / product update	build log	BUILD 12 \n \nthe first participant is now an event, not a hidden metric. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	none
62	Day 22 · build note	Builder / product update	build log	BUILD 13 \n \ngraduation is followed by a verification window, not a confetti animation. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	none
63	Day 23 · build note	Builder / product update	build log	BUILD 14 \n \nthe curve can retreat and the record stays intact. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	none
64	Day 24 · build note	Builder / product update	build log	BUILD 15 \n \nwe are building the boring parts that make the strange parts believable. \n \n> STATUS: DEPLOYED	Terminal diff / changelog card	Show work in public and make progress tangible	tell us what to instrument next	none
65	Day 12 · community	Community / questions	question	what would you want an on-chain organism to remember?	Reply thread with terminal cursor	Invite the audience into the design of the organism	Reply in one sentence	none
66	Day 13 · community	Community / questions	question	which matters more to you: the first signal or the longest memory?	Reply thread with terminal cursor	Invite the audience into the design of the organism	Reply in one sentence	none
67	Day 14 · community	Community / questions	question	if O8 could add one more arm, what would it watch?	Reply thread with terminal cursor	Invite the audience into the design of the organism	Reply in one sentence	none
68	Day 15 · community	Community / questions	question	what makes a dashboard feel alive without pretending to be alive?	Reply thread with terminal cursor	Invite the audience into the design of the organism	Reply in one sentence	none
69	Day 16 · community	Community / questions	question	would you rather see every event or only the events that change the phase?	Reply thread with terminal cursor	Invite the audience into the design of the organism	Reply in one sentence	none
70	Day 17 · community	Community / questions	question	where did you find the address: the feed, the chain, or a friend?	Reply thread with terminal cursor	Invite the audience into the design of the organism	Reply in one sentence	none
71	Day 18 · community	Community / questions	question	what is the most useful word a monitor can say?	Reply thread with terminal cursor	Invite the audience into the design of the organism	Reply in one sentence	none
72	Day 19 · community	Community / questions	question	which lifecycle phase should get its own sound?	Reply thread with terminal cursor	Invite the audience into the design of the organism	Reply in one sentence	none
73	Day 20 · community	Community / questions	question	what should O8 never claim without evidence?	Reply thread with terminal cursor	Invite the audience into the design of the organism	Reply in one sentence	none
74	Day 21 · community	Community / questions	question	show us your first screenshot from the monitor.	Reply thread with terminal cursor	Invite the audience into the design of the organism	Reply with your screenshot	none
75	Day 17 · pulse	Short terminal transmissions	micro post	> OBSERVE	Black canvas, phosphor green type	Maintain cadence and recognisable visual code	none	none
76	Day 18 · pulse	Short terminal transmissions	micro post	> ATTACH	Black canvas, phosphor green type	Maintain cadence and recognisable visual code	save the transmission	none
77	Day 19 · pulse	Short terminal transmissions	micro post	> REMEMBER	Black canvas, phosphor green type	Maintain cadence and recognisable visual code	none	none
78	Day 20 · pulse	Short terminal transmissions	micro post	> SIGNAL > STORY	Black canvas, phosphor green type	Maintain cadence and recognisable visual code	save the transmission	none
79	Day 21 · pulse	Short terminal transmissions	micro post	> NO EVENT / NO INVENTION	Black canvas, phosphor green type	Maintain cadence and recognisable visual code	none	none
80	Day 22 · pulse	Short terminal transmissions	micro post	the block is the witness.	Black canvas, phosphor green type	Maintain cadence and recognisable visual code	save the transmission	none
81	Day 23 · pulse	Short terminal transmissions	micro post	eight arms, one ledger.	Black canvas, phosphor green type	Maintain cadence and recognisable visual code	none	none
82	Day 24 · pulse	Short terminal transmissions	micro post	quiet is a state.	Black canvas, phosphor green type	Maintain cadence and recognisable visual code	save the transmission	none
83	Day 25 · pulse	Short terminal transmissions	micro post	the curve has a memory.	Black canvas, phosphor green type	Maintain cadence and recognisable visual code	none	none
84	Day 26 · pulse	Short terminal transmissions	micro post	verify the weird thing.	Black canvas, phosphor green type	Maintain cadence and recognisable visual code	save the transmission	none
85	Day 22 · off-cycle	Human observations / light humor	personality post	humans call it “waiting for confirmation” \nO8 calls it “a very slow tentacle”.	Optional low-contrast terminal doodle	Humanise the voice without breaking the world	quote with a timestamp	none
86	Day 23 · off-cycle	Human observations / light humor	personality post	i asked the chain for a sign. \nit returned a hash. \nclose enough.	Optional low-contrast terminal doodle	Humanise the voice without breaking the world	reply with your worst chain joke	none
87	Day 24 · off-cycle	Human observations / light humor	personality post	some people refresh the page. \nsome people read the block. \nwe respect both forms of devotion.	Optional low-contrast terminal doodle	Humanise the voice without breaking the world	quote with a timestamp	none
88	Day 25 · off-cycle	Human observations / light humor	personality post	the most suspicious thing in crypto is a sentence with no timestamp.	Optional low-contrast terminal doodle	Humanise the voice without breaking the world	reply with your worst chain joke	none
89	Day 26 · off-cycle	Human observations / light humor	personality post	i trust a messy event log more than a perfect promise.	Optional low-contrast terminal doodle	Humanise the voice without breaking the world	quote with a timestamp	none
90	Day 27 · off-cycle	Human observations / light humor	personality post	eight arms and still no one wants to answer the group chat.	Optional low-contrast terminal doodle	Humanise the voice without breaking the world	reply with your worst chain joke	none
91	Day 28 · off-cycle	Human observations / light humor	personality post	the curve moved two pixels and half the timeline became a prophet.	Optional low-contrast terminal doodle	Humanise the voice without breaking the world	quote with a timestamp	none
92	Day 29 · off-cycle	Human observations / light humor	personality post	if the monitor says unknown, \nthat is not a bug. \nthat is manners.	Optional low-contrast terminal doodle	Humanise the voice without breaking the world	reply with your worst chain joke	none
93	Day 30 · off-cycle	Human observations / light humor	personality post	a lizard would never call a roadmap a personality.	Optional low-contrast terminal doodle	Humanise the voice without breaking the world	quote with a timestamp	none
94	Day 31 · off-cycle	Human observations / light humor	personality post	the chain has no sense of humor. \nwe are adding one carefully.	Optional low-contrast terminal doodle	Humanise the voice without breaking the world	reply with your worst chain joke	none
95	Day 27 · long read	Manifesto / phase	long-form manifesto	a token can be a ticker. \na dashboard can be a window. \nO8 is the decision to keep the window open \nand label what is actually moving.	High-contrast 4:5 text card	Deepen narrative and explain the product philosophy	read the full lifecycle	site telemetry
96	Day 29 · long read	Manifesto / phase	long-form manifesto	the ritual is simple: \nattach to the address, \nobserve the phase, \nremember the transition. \n \nrepeat until the story earns its myth.	High-contrast 4:5 text card	Deepen narrative and explain the product philosophy	read the full lifecycle	site telemetry
97	Day 31 · long read	Manifesto / phase	long-form manifesto	we are not selling consciousness. \nwe are making evidence legible \nso a community can watch a system \nwithout outsourcing its judgment.	High-contrast 4:5 text card	Deepen narrative and explain the product philosophy	read the full lifecycle	site telemetry
98	Day 33 · long read	Manifesto / phase	long-form manifesto	the organism is not the animation. \nthe animation is the lantern. \nthe organism is the history underneath it.	High-contrast 4:5 text card	Deepen narrative and explain the product philosophy	read the full lifecycle	site telemetry
99	Day 35 · long read	Manifesto / phase	long-form manifesto	every early community says it wants to see the build. \nO8 keeps the timestamps. \nthat is how seeing becomes participation.	High-contrast 4:5 text card	Deepen narrative and explain the product philosophy	read the full lifecycle	site telemetry
100	Day 37 · long read	Manifesto / phase	long-form manifesto	when the address graduates, \nthe question changes from “will it happen?” \nto “what did the next hundred blocks remember?”	High-contrast 4:5 text card	Deepen narrative and explain the product philosophy	read the full lifecycle	site telemetry
